sample_idx,y_true,y_pred,raw_output,certainty_factor,confidence,correct,label,arch,split
0,0,0,-0.07751315437996847,0.07751315437996847,0.07751315437996847,1,clean,ttn,test
1,1,0,-0.09730534409741119,-0.09730534409741119,0.09730534409741119,0,clean,ttn,test
2,0,0,-0.41330310953775057,0.41330310953775057,0.41330310953775057,1,clean,ttn,test
3,0,0,-0.38684067129809907,0.38684067129809907,0.38684067129809907,1,clean,ttn,test
4,1,1,0.3117606064364998,0.3117606064364998,0.3117606064364998,1,clean,ttn,test
5,1,1,0.541791568180511,0.541791568180511,0.541791568180511,1,clean,ttn,test
6,0,0,-0.10736725855751218,0.10736725855751218,0.10736725855751218,1,clean,ttn,test
7,0,0,-0.38684067129809907,0.38684067129809907,0.38684067129809907,1,clean,ttn,test
8,1,0,-0.09021634775552322,-0.09021634775552322,0.09021634775552322,0,clean,ttn,test
9,1,0,-0.2694803972376722,-0.2694803972376722,0.2694803972376722,0,clean,ttn,test
10,1,1,0.5439287045973624,0.5439287045973624,0.5439287045973624,1,clean,ttn,test
11,0,0,-0.03650293754426441,0.03650293754426441,0.03650293754426441,1,clean,ttn,test
12,0,0,-0.05817167293808578,0.05817167293808578,0.05817167293808578,1,clean,ttn,test
13,1,0,-0.1283815718984773,-0.1283815718984773,0.1283815718984773,0,clean,ttn,test
14,0,0,-0.07079337386875532,0.07079337386875532,0.07079337386875532,1,clean,ttn,test
15,0,0,-0.3941184457597226,0.3941184457597226,0.3941184457597226,1,clean,ttn,test
16,0,0,-0.07751315437996847,0.07751315437996847,0.07751315437996847,1,clean,ttn,test
17,0,0,-0.07012411805486174,0.07012411805486174,0.07012411805486174,1,clean,ttn,test
18,1,0,-0.15661099954262397,-0.15661099954262397,0.15661099954262397,0,clean,ttn,test
19,1,0,-0.33736803458305353,-0.33736803458305353,0.33736803458305353,0,clean,ttn,test
20,0,0,-0.12954874236651043,0.12954874236651043,0.12954874236651043,1,clean,ttn,test
21,1,0,-0.11615491461621799,-0.11615491461621799,0.11615491461621799,0,clean,ttn,test
22,0,0,-0.0653207700277761,0.0653207700277761,0.0653207700277761,1,clean,ttn,test
23,1,0,-0.12282793213577399,-0.12282793213577399,0.12282793213577399,0,clean,ttn,test
24,1,0,-0.1283815718984773,-0.1283815718984773,0.1283815718984773,0,clean,ttn,test
25,0,0,-0.0709327848225337,0.0709327848225337,0.0709327848225337,1,clean,ttn,test
26,0,0,-0.3963295074756784,0.3963295074756784,0.3963295074756784,1,clean,ttn,test
27,0,0,-0.02403765336221711,0.02403765336221711,0.02403765336221711,1,clean,ttn,test
28,0,0,-0.1797986226448034,0.1797986226448034,0.1797986226448034,1,clean,ttn,test
29,1,0,-0.4148496612262123,-0.4148496612262123,0.4148496612262123,0,clean,ttn,test
30,0,0,-0.1686629660990605,0.1686629660990605,0.1686629660990605,1,clean,ttn,test
31,0,0,-0.07243622980812768,0.07243622980812768,0.07243622980812768,1,clean,ttn,test
32,0,0,-0.05817167293808578,0.05817167293808578,0.05817167293808578,1,clean,ttn,test
33,1,0,-0.05446204236981436,-0.05446204236981436,0.05446204236981436,0,clean,ttn,test
34,0,0,-0.08686962660221093,0.08686962660221093,0.08686962660221093,1,clean,ttn,test
35,0,0,-0.057343832463073646,0.057343832463073646,0.057343832463073646,1,clean,ttn,test
36,0,0,-0.1228279321357741,0.1228279321357741,0.1228279321357741,1,clean,ttn,test
